ad_id,ad_name,campaign_id,campaign_name,campaign_type,adset_name,audience_type,optimization_goal,creative_id,creative_theme,creative_angle,creative_headline,creative_message,start_date,end_date,status,impressions,reach,clicks,link_clicks,spend,ctwa_conversations_meta,active_days,ctwa_conversations,negative_outcomes,orders_created,gross_revenue,delivered_orders,net_revenue,unique_products_ordered,frequency,cpm,link_ctr_pct,net_roas,delivered_rate,cost_per_delivered_order,cost_per_ctwa,order_creation_rate,aov,negative_outcome_rate,net_revenue_per_day,ctwa_conversations_per_day,repeat_conversation_rate,repeat_conversations,repeat_delivered_orders
120209876543210001,Cairo broad creative A initial,120209876543220001,Always-On Premium Acquisition,always_on,Cairo broad acquisition,broad,CONVERSATIONS,120209876543230027,premium_heritage,default_premium,"Specialty Egyptian food, delivered to you","Honey, coffee, chocolate, traditional sweets. From small producers we know personally.",2025-12-30,2026-03-15,COMPLETED,3714654.0,1449153.0,29159.0,26539.0,19336.52,3404.0,76,28.0,17.0,16.0,21778.0,11.0,18311.0,20,2.5633,5.2055,0.7144,0.947,0.6875,1757.8655,690.59,0.5714,1664.6364,0.6071,240.9342,0.3684,0.0,,
120209876543210002,Cairo broad creative B spring refresh,120209876543220001,Always-On Premium Acquisition,always_on,Cairo broad acquisition,broad,CONVERSATIONS,120209876543230028,discovery,spring_refresh,"Spring new arrivals: light honey, hibiscus tea",Lighter selections for warmer months. Same premium quality.,2026-03-15,2026-05-14,COMPLETED,2984428.0,1343873.0,32176.0,29276.0,16750.42,4033.0,61,2.0,1.0,2.0,2230.0,1.0,1283.0,1,2.2208,5.6126,0.981,0.0766,0.5,16750.42,8375.21,1.0,1283.0,0.5,21.0328,0.0328,0.0,,
120209876543210003,Cairo broad creative C summer refresh,120209876543220001,Always-On Premium Acquisition,always_on,Cairo broad acquisition,broad,CONVERSATIONS,120209876543230029,discovery,summer_refresh,"Cold brew, summer honey, herbal blends",Refresh your pantry for the summer. Curated by our team.,2026-05-14,2026-06-27,COMPLETED,2321449.0,1147926.0,27599.0,25109.0,12016.36,3215.0,45,15.0,9.0,6.0,5012.0,5.0,4493.0,11,2.0223,5.1762,1.0816,0.3739,0.8333,2403.272,801.0907,0.4,898.6,0.6,99.8444,0.3333,0.2667,4.0,2.0
120209876543210004,1% LAL acquisition initial,120209876543220001,Always-On Premium Acquisition,always_on,1% Lookalike all-delivered customers,lookalike,CONVERSATIONS,120209876543230016,premium_heritage,premium_scale,"Quality you can taste, sourced with care",Single-origin coffee from Yemen and Ethiopia. Single-source honey from Fayoum. Tap to explore.,2025-12-30,2026-03-29,COMPLETED,5996606.0,2246422.0,47742.0,43435.0,34417.56,6184.0,90,29.0,12.0,18.0,16259.0,15.0,14751.0,32,2.6694,5.7395,0.7243,0.4286,0.8333,2294.504,1186.8124,0.6207,983.4,0.4138,163.9,0.3222,0.0,,
120209876543210005,1% LAL acquisition refresh,120209876543220001,Always-On Premium Acquisition,always_on,1% Lookalike all-delivered customers,lookalike,CONVERSATIONS,120209876543230027,premium_heritage,default_premium,"Specialty Egyptian food, delivered to you","Honey, coffee, chocolate, traditional sweets. From small producers we know personally.",2026-03-29,2026-06-27,COMPLETED,6289174.0,2427532.0,47097.0,42856.0,32011.4,6181.0,91,19.0,5.0,15.0,21927.0,11.0,16285.0,18,2.5908,5.0899,0.6814,0.5087,0.7333,2910.1273,1684.8105,0.7895,1480.4545,0.2632,178.956,0.2088,0.1053,2.0,
120209876543210006,3% LAL scale,120209876543220001,Always-On Premium Acquisition,always_on,3% Lookalike scale,lookalike,CONVERSATIONS,120209876543230015,value_discount,subscription_value,Specialty groceries with weekly free delivery,"Subscribe to weekly delivery. Premium honey, coffee, healthy snacks delivered at your schedule.",2025-12-30,2026-04-28,COMPLETED,4784703.0,1554124.0,32487.0,29585.0,26251.65,3838.0,120,18.0,8.0,13.0,12628.0,9.0,8371.0,20,3.0787,5.4866,0.6183,0.3189,0.6923,2916.85,1458.425,0.7222,930.1111,0.4444,69.7583,0.15,0.0,,
120209876543210007,Awareness creative Cairo+Alex,120209876543220002,Awareness Boost January,awareness,Cairo+Alex broad awareness,broad,REACH,120209876543230027,premium_heritage,default_premium,"Specialty Egyptian food, delivered to you","Honey, coffee, chocolate, traditional sweets. From small producers we know personally.",2026-01-15,2026-02-14,COMPLETED,1089878.0,636884.0,14321.0,13033.0,5966.66,1621.0,31,4.0,3.0,2.0,1506.0,1.0,1096.0,4,1.7113,5.4746,1.1958,0.1837,0.5,5966.66,1491.665,0.5,1096.0,0.75,35.3548,0.129,0.0,,
120209876543210008,General bundle creative,120209876543220003,Pre-Ramadan Bundle Promo,promotional,General audience bundle interested,broad,CONVERSATIONS,120209876543230005,value_discount,value,30% off the Ramadan Essentials bundle,"Premium dates, honey, mixed nuts, and more. Bundle savings end Feb 27.",2026-02-01,2026-02-27,COMPLETED,1195258.0,734563.0,16778.0,15265.0,6125.96,2002.0,27,28.0,14.0,20.0,23478.0,13.0,17049.0,14,1.6272,5.1252,1.2771,2.7831,0.65,471.2277,218.7843,0.7143,1311.4615,0.5,631.4444,1.037,0.0,,
120209876543210009,1% LAL bundle initial,120209876543220003,Pre-Ramadan Bundle Promo,promotional,1% Lookalike past bundle buyers,lookalike,CONVERSATIONS,120209876543230005,value_discount,value,30% off the Ramadan Essentials bundle,"Premium dates, honey, mixed nuts, and more. Bundle savings end Feb 27.",2026-02-01,2026-02-14,COMPLETED,935855.0,726992.0,12148.0,11050.0,3979.34,1609.0,14,5.0,2.0,5.0,7083.0,3.0,2537.0,4,1.2873,4.2521,1.1807,0.6375,0.6,1326.4467,795.868,1.0,845.6667,0.4,181.2143,0.3571,0.0,,
120209876543210010,1% LAL bundle refresh,120209876543220003,Pre-Ramadan Bundle Promo,promotional,1% Lookalike past bundle buyers,lookalike,CONVERSATIONS,120209876543230008,urgency_scarcity,ramadan_scarcity,Last 100 Iftar Premium boxes,"Made fresh weekly. Once sold out, gone until next Ramadan. Order now.",2026-02-14,2026-02-27,COMPLETED,740895.0,581317.0,13396.0,12184.0,3853.42,1815.0,14,13.0,7.0,7.0,8787.0,5.0,6144.0,3,1.2745,5.201,1.6445,1.5944,0.7143,770.684,296.4169,0.5385,1228.8,0.5385,438.8571,0.9286,0.0,,
